They will love you like a son;Pokochają cię jak syna
His mother died when he was 11 years old;Jego matka zmarła kiedy miał 11 lat
They were left fatherless;Zostali bez ojca
He was beaten by his parents;Rodzice go bili
She is the black sheep of the family;Jest czarną owcą rodziny
They raised seven adopted children;Wychowali siedmioro adoptowanych dzieci
Edgar was a baby when his father left the family;Edgar był dzieckiem kiedy jego ojciec porzucił rodzinę
He rarely saw his parents;Rzadko widywał się ze swoimi rodzicami 
He had two older sisters;Miał dwie starsze siostry 
The marriage had problems from the start;Małżeństwo miało problemy od początku 
She knew that her place was with her husband;Wiedziała że jej miejsce jest przy mężu 
Their marriage lasted only a few years;Ich małżeństwo wytrzymało tylko kilka lat 
He would not divorce his wife;Nie chciał rozwieść się z żoną 
Five years later they divorced;Pięć lat później rozwiedli się 
She was born into a poor rural family;Urodziła się w biednej wiejskiej rodzinie 
He has two other children from his first marriage;Ma dwoje dzieci z pierwszego małżeństwa 
He had seven children to support;Miał na utrzymaniu siedmioro dzieci 
She refused to divorce;Nie chciała się rozwieść 
The steam stood so thick on the glass inside;Para grubo osiadała na szybach 
We went upstairs each to our own room;Każde z nas poszło na górę do swojego pokoju 
The picture hung over the mantelpiece;Obraz wisiał nad kominkiem 
The bottom room was lit up;Izba na dole jest oświetlona 
In a little whitewashed room;W niewielkiej bielonej izbie 
I went to keep house with him;Zamieszkałem razem z nim 
The glass was out of the windows;W oknach nie było szyb 
A very heavy table polished by use;Bardzo ciężki stół wypolerowany przez zużycie 
There is a book on the table;Na stole leży książka 
The door was open;Drzwi były otwarte 
I looked in the door of the big room;Zajrzałem przez drzwi do dużego pokoju 
The room looked out on the courtyard;Pokój wychodził na podwórze 
My bed was made up with blankets;Moje łóżko było posłane i przekryte kocem 
At the foot of the bed was my flat trunk;W nogach łóżka stał mój płaski kuferek 
It was a fine low solid stone house;Był to piękny niski masywny dom z kamienia 
It was dark in the room;W pokoju było ciemno 
The door of the house was open and I went in;Drzwi domu były otwarte więc wszedłem do środka 
The plaster of the broken houses was gray and wet;Tynk porozbijanych domów był szary i mokry 
The windows were all shut;Wszystkie okna były pozamykane 
There are no forks;Nie ma widelców 
There were lighted candles on the table;Na stole stały zapalone świece 
Everything is in place;Wszystko jest na swoim miejscu 
When does your move take place;Kiedy się przeprowadzasz
They moved away from here;Wyprowadzili się stąd 
They moved back;Sprowadzili się z powrotem 
They moved in next door;Wprowadzili się obok 
We have to move out tomorrow;Jutro musimy się wyprowadzić 
The lamp hung from the ceiling;Lampa zwisała z sufitu 
The blinds were up;Rolety były podniesione 
They live three floors up from us;Mieszkają trzy piętra nad nami 
The table was up against the wall;Stół stał tuż przy ścianie 
We can rent a house;Możemy wynająć dom 
The room was carped;W pokoju był dywan 
It was dull enough;Było to strasznie nudne 
We went upstairs each to our own room;Każde z nas poszło na górę do swojego pokoju 
He rested his arms on the table;Oparł ręce o stół 
He stood up from the table;Wstał od stołu 
He took his feet off the table;Zdjął nogi ze stołu 
I stepped out into the street;Wyszedłem na ulicę 
He looked out of the window again;Znowu popatrzył przez okno 
He put his hand on my shoulder;Położył mi rękę na ramieniu 
He slapped his gloves on the edge of the bed;Strzepnął rękawiczkami o krawędź łóżka 
He took off his gloves;Zdjął rękawiczki 
He was sitting up beside one of the brick walls;On  Siedzi pod ścianą z cegieł 
He went out in the kitchen;Poszedł do kuchni 
He whacked me on the back;Klepnął mnie po plecach 
He wiped his hands on his jumper;Otarł ręce o sweter 
He wiped his mouth;Otarł usta 
I have to get washed;Muszę się umyć 
I have to go;Muszę już iść 
I haven’t been anywhere;Nigdzie nie byłem 
I looked at my watch;Spojrzałem na mój zegarek 
I sat at the table;Usiadłem przy stole 
I sat on a chair;Usiadłem na krześle 
I washed combed my hair and we went down the stairs;Umyłem się uczesałem i zeszliśmy na dół 
I went out the door and suddenly I felt lonely;Wyszedłem na dwór i nagle poczułem się samotny 
I went up to my room to wash;Poszedłem do mojego pokoju żeby się umyć 
We looked at each other;Popatrzyliśmy na siebie 
We sat down on a bench and I looked at her;Usiedliśmy na ławce i przyjrzałem się jej 
We sat on the flat stone bench;Usiedliśmy na płaskiej kamiennej ławce 
We walked along together through the town;Szliśmy razem przez miasto 
We walked on a way and were stopped under a tree;Przeszliśmy jeszcze kawałek i stanęliśmy pod drzewem 
We’ll have a walk and talk together;Pójdziemy na spacer i pogadamy 
We’re going home;Idziemy do domu 
While I rubbed myself with a towel I looked around the room;Wycierając się ręcznikiem rozglądałem się po pokoju 
Her favorite activity is cleaning;Jej ulubioną czynnością jest sprzątanie 
She was looking in the mirror;Przeglądała się w lustrze 
She stripped the blankets off the bed;Zdjęła koce z łóżka 
The room was stripped bare;Wyniesiono meble z pokoju 
He was buried in the vault under the church;Pochowano go w krypcie pod kościołem 
I kept away from the churchyard;Trzymałem się z dala od cmentarza 
I was sitting on this tomb looking out to sea;Siedziałem na tym nagrobku i patrzyłem na morze 
The dead were off to one side;Nieżywych układano na boku 
His memory lives on;Pamięć o nim żyje nadal 
She was buried near her house;Została pochowana w pobliżu swojego domu 
She was near death;Była blisko śmierci 
I wanted to commit suicide but I didn’t know how;Chcę popełnić samobójstwo ale nie wiem jak 
Two-minute silence for Hillsborough victims;Dwie minuty ciszy dla ofiar katastrofy w Hillsborough 
She died Tuesday at the age of eighty-eight;Zmarła we wtorek w wieku 88 lat 
Rachel was buried two days later;Rachel została pochowana dwa dni później 
Thousands of people gathered at his funeral;Tysiące ludzi zgromadziły się na jego pogrzebie 
His death shocked his fans;Jego śmierć zszokowała fanów 
Thousands of people came to her funeral;Tysiące ludzi przyszły na jej pogrzeb 
He died young;Zmarł w młodym wieku 
He spoke at the funeral service;Przemawiał na pogrzebie 
He died at the age of seventy-five;Zmarł w wieku siedemdziesięciu pięciu lat 
She died many years ago;Zmarła wiele lat temu 
He died of lung cancer;Zmarł na raka płuc 
She took her own life;Odebrała sobie życie 
She died as the result of too many drugs;Zmarła w wyniku przedawkowania narkotyków 
He will not have a state funeral;Nie będzie miał pogrzebu państwowego 
Poles to pay tribute to President Lech Kaczynski;Polacy oddają hołd prezydentowi Lechowi Kaczyńskiemu 
I will never forget you;Nigdy cię nie zapomnę 
The funeral was wonderful;Pogrzeb był wspaniały 
She is in mourning;Ona jest w żałobie 
I am too young to die;Jestem za młoda żeby umrzeć 
I can't die;Nie mogę umrzeć 
His death is a very great loss;Jego śmierć to wielka strata 
He passed away recently;Niedawno umarł 
President has declared three days of national mourning;Prezydent ogłosił trzy dni żałoby narodowej 
He died in his own bed;Zmarł we własnym łóżku 
I’ll drive and you sleep awhile;Ja poprowadzę a wy się trochę zdrzemniecie 
I slept a little;Zdrzemnąłem się trochę 
I don’t need much sleep;Nie potrzebuję dużo snu 
I had been nearly asleep;O mało nie zasnąłem 
I heard my aunt snoring;Usłyszałem chrapanie mojej ciotki 
He was not yet gone to bed;Jeszcze nie położył się do łóżka 
How long I slept I cannot tell;Nie potrafię powiedzieć jak długo spałem 
I couldn't get to sleep;Nie mogłem zasnąć 
She put her child to sleep;Położyła swoje dziecko spać 
She talks in her sleep;Ona mówi przez sen 
I slept through the alarm;Spałem dalej mimo że dzwonił budzik 
I don't sleep well;Nie sypiam dobrze 
The body rebuilds itself in sleep;Ciało regeneruje się podczas snu 
You should get some sleep;Powinieneś się trochę przespać 
He didn't sleep a wink;Nie zmrużył oka 
I had slept away a day;Przespałem cały dzień 
At first I thought I was in my own bed;Myślałem zrazu że leżę we własnym łóżku 
In my bed for thinking of many things;Leżąc w łóżku rozmyślałem o wielu rzeczach 
I felt sleep heavy on my eyelids;Byłem tak senny że oczy mi się kleiły 
e woke when he heard me in the room and sat up;Kiedy usłyszał mnie w pokoju przebudził się i usiadł 
We’ll be hungry when we wake up;Będziemy głodni jak się obudzimy 
After a while I woke him and we started;Po pewnym czasie zbudziłem go i ruszyliśmy w drogę 
I sleep with the window open;Śpię przy otwartym oknie 
He was snouring loudly;Głośno chrapał 
The teacher explained the theory point by point;Nauczyciel wyjaśnił teorię punkt po punkcie 
He was marked down for bad spelling;Obniżono mu ocenę za błędy ortograficzne 
I learn foreign languages;Uczę się języków obcych 
She is doing fell at school;W szkole dobrze jej idzie 
She went to school;Poszła do szkoły 
He is good at maths;Jest dobry z matematyki 
She attends English courses;Chodzi na kursy angielskiego 
He did not like classes;Nie lubił zajęć 
What is the best way to learn a new language;Jak najlepiej uczyć się nowego języka
She finished high school at the age of fifteen;W wieku piętnastu lat ukończyła szkołę średnią 
She learned French quickly;Szybko nauczyła się języka francuskiego 
He stopped attending school when he was 12 years old;Przestał uczęszczać do szkoły kiedy miał 12 lat 
They don’t want to go to school;Nie chcą chodzić do szkoły 
Mathematics is child's play to him;Matematyka jest dla niego dziecinnie prosta 
When I got back from school;Kiedy wróciłem ze szkoły 
We attend the same school;Chodzimy do tej samej szkoły 
There was no school today;Dzisiaj nie było lekcji 
To pass an exam with flying colours;Zdać egzamin śpiewająco 
I can't be bothered to do homework;Nie chce mi się odrabiać lekcji 
At school she was an excellent pupil;W szkole była świetną uczennicą 
His hair had got awry;Zmierzwiły mu się włosy 
His face was drawn with heavy lines;Jego twarz pożłobiły głębokie bruzdy 
There were rings under his eyes;Miał podkrążone oczy 
He was a sorry sight enough;Przedstawiał opłakany widok 
He had a thin face;Miał chudą twarz 
She was tall for her age;Była wysoka jak na swój wiek 
He was a man of fifty with a shock of grizzled hair;Był to człowiek 50-letni ze strzechą siwiejących włosów 
His frame was thick-set and still immensely strong;Był krępy i wciąż jeszcze bardzo silny 
His hair was gray;Miał siwe włosy 
I thought she was very beautiful;Wydała mi się bardzo piękna 
She did not seem tall walking toward me;Kiedy szła ku mnie nie wydała mi się wysoka 
She had thick full lips and black eyes;Miała grube pełne wargi i czarne oczy 
She looked very lovely;Wyglądała bardzo ładnie/ślicznie 
She was blonde and had a tawny skin and gray eyes;Miała blond włosy smagłą cerę i szare oczy 
She was plump and dark and looked about sixteen;Była pulchna smagła i wyglądała na około szesnaście lat 
The major was a little man with upturned mustaches;Major był małym człowieczkiem z podkręcanymi wąsami 
The woman has a pale face with dark hair;Kobieta ma bladą twarz i ciemne włosy 
She did not wear make-up;Nie nosiła makijażu 
His face was wrinkled;Miał pomarszczoną twarz 
She changed her hair color;Zmieniła kolor włosów 
He wears his hair brushed back;On nosi włosy zaczesane do tyłu 
He got a tattoo;Zrobił sobie tatuaż 
They all wore beards;Wszyscy nosili brodę 
His head was shaved;Był ostrzyżony na zero 
He is beginning to go bald;Zaczął łysieć 
He looked like an aristocrat;Wyglądał jak arystokrata 
How to stop smoking;Jak rzucić palenie
Smoking tobacco is bad for your health;Palenie tytoniu szkodzi zdrowiu 
Smoking tobacco is the leading cause of lung disease;Palenie tytoniu jest najczęstszą przyczyną chorób płuc 
Smokers may harm the health of family members;Palacze mogą szkodzić zdrowiu członków rodziny 
Smoking even a small number of cigarettes is dangerous;Niebezpieczne jest nawet palenie małej liczby papierosów 
Nicotine is a poison;Nikotyna jest trucizną 
Nicotine is the major substance in cigarettes;Nikotyna to główny składnik papierosów 
Menthol cigarettes may be more dangerous;Papierosy mentolowe mogą być bardziej niebezpieczne 
It is not easy to stop smoking permanently;Niełatwo rzucić palenie na zawsze 
You probably will live longer if you do stop smoking;Jeśli rzucisz palenie prawdopodobnie będziesz żył dłużej 
More than one billion people around the world are smokers;Ponad miliard ludzi na całym świecie pali papierosy 
Smoking kills an estimated five million people every year;Palenie każdego roku zabija około pięć milionów osób 
Smoking increased the risk of Alzheimer’s;Palenie zwiększa ryzyko choroby Alzheimera 
People who smoke are not only hurting themselves;Palacze szkodzą nie tylko sobie 
Smoking ban in public places;Zakaz palenia w miejscach publicznych 
Smoke-filled bars and restaurants;Zadymione bary i restauracje 
He smokes a packet of cigarettes a day;Wypala paczkę papierosów dziennie 
He rolls his own cigarettes;Sam sobie skręca papierosy 
He drank himself into oblivion;Upił się do nieprzytomności 
He poured two glasses and we touched them;Nalał dwie szklanki i trąciliśmy się 
I drank the cognac and felt it warm all the way down;Wypiłem koniak i poczułem jak mnie rozgrzewa w środku 
I drank the wine and it did not make me feel good;Wypiłem wino ale nie poczułem się lepiej 
I held the glass for some more cognac;Nadstawiłem szklankę żeby mi jeszcze nalał koniaku 
We drank rum and it was very friendly;Piliśmy rum w bardzo przyjaznym nastroju 
He never got drunk himself;Nigdy się nie upijał 
He took out from a cupboard a little round long-necked bottle;Wyjął z kredensu małą okrągłą flaszkę z długą szyjką 
He loved a glass of the good liquor well;Lubił szklaneczkę dobrego trunku 
Are you mad or has the liquor mastered you;Powariowaliście czy może trunek uderzył wam do głów
What the liquor was I do not know;Nie wiem co to był za trunek 
I stuck my fingers in my ears;Zatkałem uszy palcami 
I shut my eyes;Zamknąłem oczy 
I think there was one listening at the door;Wydaje mi się że ktoś podsłuchiwał za drzwiami 
I heard every word spoken;Słyszałem każde słowo 
The stable smelt dry and pleasant in the rain;Po deszczu pachniało w stajni sucho i przyjemnie 
I saw nothing;Nic nie zauważyłem 
I smelled the hay;Czułem woń siana 
It tasted of rusty metal;Miało to smak zardzewiałego metalu 
We stood there in the rain and listened to this;Staliśmy na deszczu przysłuchując się temu 
While I was looking at him he opened his eyes;Kiedy na niego patrzyłem otworzył oczy 
I can’t see from one eye;Nie widzę na jedno oko 
We cannot see it;Nie możemy tego zobaczyć 
I heard them going upstairs;Słyszałem jak wchodzili na górę 
I smelled the hay;Czułem woń siana 
His patience wore thin;Jego cierpliwość jest na wyczerpaniu 
You owe me an apology;Jesteś mi winny przeprosiny 
Feelings ran high;Emocje rozgorzały 
She said she hated life;Mówiła że nienawidzi życia 
I got angry;Zdenerwowałem się 
She said in a cold and measured voice;Powiedziała równym suchym głosem 
I measured him up and down;Zmierzyłem go wzrokiem 
The girl looked at me fiercely;Dziewczyna spojrzała na mnie srogo 
We two were talking while the others argued;My dwaj rozmawialiśmy tymczasem reszta się kłóciła 
His face darkened when he saw me;Na mój widok spochmurniał 
The blood went pounding round and round in my head;Krew uderzyła mi do skroni 
I felt the devil rise in my heart;Poczułem diabła w sercu 
There is nothing to fear;Nie ma się czego bać 
I am not scared of you;Nie boję się ciebie 
She is terrified of spiders;Ona strasznie boi się pająków 
There is nothing to be afraid of;Nie ma się czego bać 
I did not feel so sure;Straciłem pewność siebie 
Then a horror of the darkness seized me;Ogarnął mnie strach przed ciemnością 
At the churchyard wall my courage had waned somewhat;Przy cmentarnym murze odwaga całkiem mnie opuściła 
My heart beat very fiercely;Serce waliło mi bardzo mocno 
Sweat ran all over me;Oblałem się potem 
He chickened out of going;Stchórzył i nie poszedł
He gasped in dismay;Zamarł z przerażenia
Her nerves were frayed;Była kłębkiem nerwów
His hair stood on end;Włosy stanęły mu dęba 
It was a great weight off my mind;Spadł mi kamień z serca 
There was a look of horror on her face;Na jej twarzy widać było przerażenie 
She was shaking with fright;Drżała ze strachu 
I hurt her feelings;Zraniłem jej uczucia 
I fell in love with her;Zakochałem się w niej 
They loved each other very much;Bardzo się kochali 
He remained the love of her life;Pozostał miłością jej życia 
We understood each other very well;Rozumieliśmy się doskonale 
We were great friends;Bardzo się przyjaźniliśmy 
They don’t trust us;Nie mają do nas zaufania 
We don't like the English;Nie lubimy Anglików 
We all hated her father;Wszyscy nienawidziliśmy jej ojca 
We liked her well;Bardzo ją lubiliśmy 
We bred up a boy-and-girl affection;Zrodziło się między nami dziecinne uczucie 
She felt drawn towards him;Poczuła do niego sympatię 
She was trying to turn me against him;Próbowała nastawić mnie przeciwko niemu 
They had words;Doszło między nimi do ostrej wymiany zdań 
They hate each other;Nienawidzą się 
He looked daggers at me;Rzucił mi spojrzenie pełne nienawiści 
Our enemies are on the move;Nasi wrogowie nie śpią 
Poe suffered from depression;Poe cierpiał na depresję 
She fell ill with flu;Zachorowała na grypę 
The virus rarely spreads from person to person;Wirus rzadko przenosi się z człowieka na człowieka 
The bird flu vaccine is safe;Szczepionka na ptasią grypę jest bezpieczna 
The virus spreads through the air;Wirus przenosi się drogą kropelkową 
The flu causes muscle pain;Grypa powoduje ból mięśni 
The flu can kill;Grypa może zabijać 
The body's defense system produces antibodies;Układ immunologiczny produkuje przeciwciała 
There were two other flu pandemics in the twentieth century;W dwudziestym wieku były dwie pandemie grypy 
Doctors do not know what causes asthma;Lekarze nie wiedzą co powoduje astmę 
Multiple sclerosis is different from other diseases;Stwardnienie rozsiane różni się od innych chorób 
Living with multiple sclerosis is never easy;Życie ze stwardnieniem rozsianym nie jest łatwe 
The nervous system is the main target of the disease;Układ nerwowy jest głównym celem choroby 
He is fighting for his life;Walczy o życie 
He fought cancer successfully;Wygrał walkę z rakiem 
The doctors think she won't live;Lekarze uważają że nie przeżyje 
He was sent to a mental hospital;Został wysłany do szpitala psychiatrycznego 
She had treatment with radiation;Przeszła radioterapię 
Today she feels fine;Obecnie czuje się świetnie 
They have no health insurance;Nie mają ubezpieczenia zdrowotnego 
The health care system;System opieki zdrowotnej 
There is no hope for him;Nie ma dla niego nadziei 
She seemed to get better;Wydawało się że jej stan się poprawia 
The treatments made it easier for him to breathe;Leczenie ułatwiło mu oddychanie 
He takes medicines every day;Codziennie bierze leki 
They should go to the doctor for medical examinations;Powinni chodzić do lekarza na badania 
They have problems thinking after taking drugs;Po zażyciu leków mają problem z koncentracją 
The patient must be in a hospital;Pacjent musi pozostać w szpitalu 
Aspirin thins the blood;Aspiryna rozcieńcza krew 
Doctors usually prescribe opiate drugs;Lekarze często przepisują opiaty 
She takes medicines daily;Ona codziennie bierze lekarstwa 
His leg hurts;Boli go noga 
I'm aching all over;Wszystko mnie boli 
She is very sick and weak;Jest bardzo chora i słaba 
She was unconscious for three weeks;Przez trzy tygodnie była nieprzytomna 
When she woke up she could not speak;Kiedy się obudziła nie mogła mówić 
He was paralyzed from the neck down;Był sparaliżowany od szyi w dół 
The seizure will stop on its own;Atak choroby ustąpi samoistnie 
Chronic pain may go away but it often comes back;Przewlekły ból może ustąpić ale często powraca 
The problems appear suddenly;Problemy pojawiają się nagle 
Have you had a headache recently;Czy ostatnio bolała cię głowa
He appeared in many movies;Wystąpił w wielu filmach 
The movie are based on real events;Film jest oparty na rzeczywistych wydarzeniach 
She soon started appearing in small roles;Wkrótce zaczęła pojawiać się w małych rolach 
Hollywood filmmakers became interested in her;Zainteresowali się nią holywoodzcy reżyserzy 
Her first movie came out in nineteen thirty-two;Jej pierwszy film wszedł na ekrany w 1932 
By the end of the movie;Na końcu filmu 
She liked to play the roles of strong women;Lubiła grać silne kobiety 
One of Katharine Hepburn’s most famous roles;Jedna z nasłynniejszych ról Kathariny Hepburn 
She starred in her last movie;Wystąpiła w swoim ostatnim filmie 
He died a few weeks after filming ended;Zmarł kilka tygodni po zakończeniu zdjęć do filmu 
People still enjoy her films;Ludziom nadal podobają się jej filmy 
She received an award for best actress;Otrzymała nagrodę dla najlepszej aktorki 
She received an nomination for her role in  ;Otrzymała nominację za rolę w   
